20240413	16:00:03	bf2c5ecb-ecad-40d2-95a3-872134d7afe6	/new-page	GET
20240413	16:00:03	42bc7e81-8c2f-48cb-8baa-310cddef1ac5	/css/style.css	GET
20240413	16:00:03	10631a5c-8f8d-4baa-9ffd-08f5ef714b20	/img/img1.jpg	GET
20240413	16:00:03	229507a1-a158-4229-8797-5118dfd4b2a6	/favicon.ico	GET
20240413	16:01:07	4a3cb532-d741-4baa-8690-94d0cf94a09d	/new-page	GET
20240413	16:01:52	24f83948-9ad0-487c-929c-df44ceac5976	/new-page	GET
20240413	16:01:52	89782513-e0e9-4993-a8a1-19fb2712d176	/css/style.css	GET
20240413	16:01:52	add067db-ddf7-4313-89a0-9524c32744d7	/img/img1.jpg	GET
20240501	23:34:58	675dcabe-9d62-4146-af36-94eae866ad0f	GET	undefined	/
20240501	23:34:58	a07679d1-0be2-4e11-be8d-03eb3f11b15f	GET	undefined	/css/style.css
20240501	23:35:31	627ef095-0b3f-4c8f-8a28-3ed21115cae9	GET	undefined	/
20240501	23:35:31	3294b4a1-3a9d-4b69-9176-6d92a3225ce2	GET	undefined	/css/style.css
20240501	23:36:58	d7435cfa-b808-4699-9055-8ad11ac20a09	GET	undefined	/
20240501	23:36:58	632f9595-10f2-451a-b4fe-1f64e3cd2014	GET	undefined	/css/style.css
20240501	23:45:45	ddc0497c-19fd-48c6-b936-b7804a3f5fe4	GET	undefined	/
20240501	23:46:23	d77c892d-116d-4a7e-94dc-479e7535f437	GET	undefined	/
20240501	23:46:23	864d1745-8483-4ec8-a32e-c3a986764299	GET	undefined	/css/style.css
20240501	23:50:51	51661cdb-6526-4f85-8af2-b5284dc6b8dc	GET	undefined	/
20240501	23:52:43	8ddb1a03-af8b-424c-b489-42e675c7cf95	GET	undefined	/
20240501	23:52:43	c30cccd4-c413-4bdc-9bdd-3790a740c60b	GET	undefined	/css/style.css
20240501	23:52:45	c71e5f10-ae98-46b1-9f8e-6dbd9eaf4e72	GET	undefined	/dave
20240501	23:52:45	63d2599c-511e-4ca4-8a5e-980a9ec9fc25	GET	undefined	/css/style.css
20240506	22:44:12	ceba282e-a0e6-4572-a525-0478163547fe	GET	undefined	/
20240506	22:44:12	61216801-f9fd-4822-9d9e-b05d6305f83b	GET	undefined	/css/style.css
20240506	22:44:13	f15b9525-ccd4-425c-bcd7-8269a72d54c1	GET	undefined	/favicon.ico
20240506	22:44:30	166b0a7b-efe0-4a64-903b-3cfeb9383e74	GET	undefined	/new
20240506	22:44:32	f2a949ce-4b0c-4ca9-a422-283c6f936a15	GET	undefined	/subdir
20240506	22:44:43	4577408f-c8b7-486f-a2ee-a68447d3baf0	GET	undefined	/subdir/test.html
20240506	22:54:41	9402f84c-ffa6-488c-aa60-f74be649ea20	GET	undefined	/
20240506	22:54:41	274bfc5e-31f3-41b7-99f9-6bb909a55e5d	GET	undefined	/css/style.css
20240506	22:54:44	e4cab0ac-2282-4199-a23a-b1f7424840dc	GET	undefined	/new
20240506	22:54:48	ff128331-000b-4f6d-8290-54ed4dc80efb	GET	undefined	/new-page
20240506	22:54:48	88726f0a-eaa7-4355-a126-5f91e1e37b9b	GET	undefined	/css/style.css
20240506	22:54:48	04018d41-5f2b-4baa-858d-446d56b364b9	GET	undefined	/img/img1.jpg
20240506	22:55:06	ed1bdf9c-4144-4eb9-96b9-2cdec56f2120	GET	undefined	/nold-page
20240506	22:55:06	2f819dc0-9a22-4733-a442-c7c8bc7d6943	GET	undefined	/css/style.css
20240506	22:55:10	f359f9ad-0b99-47ad-90db-d7875e3c2452	GET	undefined	/old-page
20240506	22:55:10	4ce654ea-4e89-4df9-b314-3cbab08158f7	GET	undefined	/new-page.html
20240506	22:55:10	f1190692-b02d-42c3-8f9b-4beea7f72078	GET	undefined	/css/style.css
